"title","price","combustivel","cambio","km","modelo_base","descricao_modelo"
"HB20 1.0 COMFORT 12V FLEX MANUAL","55890","Flex","Manual","19197","HB20","1.0 COMFORT 12V FLEX MANUAL"
"UP 1.0 MPI TAKE MANUAL","46890","Gasolina","Manual","17402","UP","1.0 MPI TAKE MANUAL"
"HB20 1.6 COMFORT PLUS 16V AUTOMÁTICO","62890","Gasolina","Automático","74310","HB20","1.6 COMFORT PLUS 16V AUTOMÁTICO"
"DISCOVERY SPORT 2.0 16V TURBO AUTOMÁTICO","94890","Gasolina","Automático","21362","DISCOVERY","SPORT 2.0 16V TURBO AUTOMÁTICO"
"NIVUS 1.0 200 TSI TOTAL AUTOMÁTICO","109890","Gasolina","Automático","37742","NIVUS","1.0 200 TSI TOTAL AUTOMÁTICO"
"RENEGADE 2.0 16V TURBO DIESEL AUTOMÁTICO","79890","Diesel","Automático","21160","RENEGADE","2.0 16V TURBO DIESEL AUTOMÁTICO"
"SONG PRO 1.5 DMI HÍBRIDO AUTOMÁTICO","79890","Gasolina","Automático","42688","SONG","PRO 1.5 DMI HÍBRIDO AUTOMÁTICO"
"530I 2.0 16V TURBO GASOLINA AUTOMÁTICO","170000","Gasolina","Automático","78179","530I","2.0 16V TURBO GASOLINA AUTOMÁTICO"
"COROLLA CROSS 1.8 VVTI HYBRID AUTOMÁTICO","79890","Gasolina","Automático","62366","COROLLA","CROSS 1.8 VVTI HYBRID AUTOMÁTICO"
"118I 2.0 SPORT EDITION 16V AUTOMÁTICO","52500","Gasolina","Automático","15611","118I","2.0 SPORT EDITION 16V AUTOMÁTICO"
"HRV 1.8 16V FLEX EXL AUTOMÁTICO","95890","Flex","Automático","89116","HRV","1.8 16V FLEX EXL AUTOMÁTICO"
"COMPASS 2.0 16V FLEX LONGITUDE AUTOMÁTICO","82900","Flex","Automático","45963","COMPASS","2.0 16V FLEX LONGITUDE AUTOMÁTICO"
"TCROSS 1.0 200 TSI TOTAL AUTOMÁTICO","85900","Gasolina","Automático","37453","TCROSS","1.0 200 TSI TOTAL AUTOMÁTICO"
"GOL 1.0 12V MPI TOTALFLEX MANUAL","45890","Flex","Manual","18163","GOL","1.0 12V MPI TOTALFLEX MANUAL"
"A3 1.4 TFSI FLEX SEDAN AUTOMÁTICO","79890","Flex","Automático","23341","A3","1.4 TFSI FLEX SEDAN AUTOMÁTICO"
"TIGUAN 1.4 250 TSI TOTAL AUTOMÁTICO","114890","Gasolina","Automático","80604","TIGUAN","1.4 250 TSI TOTAL AUTOMÁTICO"
"DUSTER 2.0 DYNAMIQUE 4X2 16V AUTOMÁTICO","51890","Gasolina","Automático","85120","DUSTER","2.0 DYNAMIQUE 4X2 16V AUTOMÁTICO"
"220I 2.0 CAT GP 16V AUTOMÁTICO","79890","Gasolina","Automático","34604","220I","2.0 CAT GP 16V AUTOMÁTICO"
"ONIX 1.0 FLEX LT MANUAL MANUAL","69890","Flex","Manual","56187","ONIX","1.0 FLEX LT MANUAL MANUAL"
